hhid,personid1,personid2,personid3,personid4,price,nkids,jbstathoh,us,ustot,usa,usb,usc,usd,use,usg,ush,usi,usj
1864,6278944,NA,NA,NA,93000,2,in paid employ,yes,£200-499,no,no,no,yes,no,no,no,no,yes
1580,6186078,NA,NA,NA,194950,0,retired,refused,not applicable,refused,refused,refused,refused,refused,refused,refused,refused,refused
3888,8203112,NA,NA,NA,105000,0,in paid employ,refused,not applicable,refused,refused,refused,refused,refused,refused,refused,refused,refused
931,8013682,NA,NA,NA,289950,1,retired,no,not applicable,no,no,no,no,no,no,no,no,no
416,4988090,NA,NA,NA,249950,2,in paid employ,yes,<£200,no,no,yes,no,no,no,no,no,no
2125,366652,NA,NA,NA,161000,1,in paid employ,don't know,not applicable,don't know,don't know,don't know,don't know,don't know,don't know,don't know,don't know,don't know
657,7416472,NA,NA,NA,204995,0,retired,no,not applicable,no,no,no,no,no,no,no,no,no
2124,848608,NA,NA,NA,124950,0,in paid employ,no,not applicable,no,no,no,no,no,no,no,no,no
1312,4757770,NA,NA,NA,240000,0,FT student,yes,refused,no,yes,no,no,no,no,yes,yes,no
1251,4333624,NA,NA,NA,450000,0,retired,no,not applicable,no,no,no,no,no,no,no,no,no
1098,4857732,NA,NA,NA,115500,0,in paid employ,yes,£500-999,no,no,no,no,no,no,yes,no,no
1803,1643818,NA,NA,NA,109000,0,retired,no,not applicable,no,no,no,no,no,no,no,no,no
1449,8838639,NA,NA,NA,249000,0,retired,no,not applicable,no,no,no,no,no,no,no,no,no
3519,6935915,NA,NA,NA,423925,1,in paid employ,no,not applicable,no,no,no,no,no,no,no,no,no
656,7618512,NA,NA,NA,412500,0,retired,no,not applicable,no,no,no,no,no,no,no,no,no
70,4754681,NA,NA,NA,115000,0,in paid employ,yes,"£7,000-7,499",no,no,yes,no,no,no,no,yes,no
2344,5899569,NA,NA,NA,355000,0,in paid employ,refused,not applicable,refused,refused,refused,refused,refused,refused,refused,refused,refused
2076,2659565,NA,NA,NA,270000,0,retired,no,not applicable,no,no,no,no,no,no,no,no,no
2239,6417177,NA,NA,NA,110000,1,in paid employ,no,not applicable,no,no,no,no,no,no,no,no,no
4146,6227192,NA,NA,NA,154500,0,unemployed,no,not applicable,no,no,no,no,no,no,no,no,no
4421,2954431,NA,NA,NA,249999,0,retired,yes,"£6,500-6,999",no,yes,no,no,no,no,no,no,no
2722,7014666,NA,NA,NA,138000,0,in paid employ,refused,not applicable,refused,refused,refused,refused,refused,refused,refused,refused,refused
42,4567147,NA,NA,NA,130102,1,in paid employ,yes,£500-999,no,no,no,yes,no,yes,no,no,no
4056,6813469,NA,NA,NA,168750,0,in paid employ,no,not applicable,no,no,no,no,no,no,no,no,no
766,6129985,NA,NA,NA,140000,1,in paid employ,no,not applicable,no,no,no,no,no,no,no,no,no
2159,9845208,NA,NA,NA,91036,0,retired,no,not applicable,no,no,no,no,no,no,no,no,no
2186,2851210,NA,NA,NA,181500,3,in paid employ,yes,£500-999,no,no,yes,yes,no,no,no,no,no
3291,8466369,982101,NA,NA,540000,0,retired,no,not applicable,no,no,no,no,no,no,no,no,no
2812,2293897,NA,NA,NA,450000,0,in paid employ,don't know,not applicable,don't know,don't know,don't know,don't know,don't know,don't know,don't know,don't know,don't know
2322,7479875,NA,NA,NA,45000,3,long-term sick/disab,yes,<£200,no,no,yes,no,no,no,no,no,no
2445,3924482,NA,NA,NA,390000,0,retired,no,not applicable,no,no,no,no,no,no,no,no,no
1901,4811443,NA,NA,NA,163731,0,FT student,no,not applicable,no,no,no,no,no,no,no,no,no
4416,4430446,NA,NA,NA,483000,0,in paid employ,refused,not applicable,refused,refused,refused,refused,refused,refused,refused,refused,refused
4406,9694113,NA,NA,NA,499950,0,FT student,don't know,not applicable,don't know,don't know,don't know,don't know,don't know,don't know,don't know,don't know,don't know
1930,349419,NA,NA,NA,549995,0,in paid employ,refused,not applicable,refused,refused,refused,refused,refused,refused,refused,refused,refused
1703,1658802,NA,NA,NA,93950,0,in paid employ,no,not applicable,no,no,no,no,no,no,no,no,no
3540,324510,NA,NA,NA,100000,0,in paid employ,yes,£200-499,no,no,no,no,no,yes,no,no,no
4024,10169,NA,NA,NA,290000,2,in paid employ,yes,£500-999,no,no,yes,no,no,no,yes,no,no
2989,6943452,5623334,NA,NA,190000,0,in paid employ,no,not applicable,no,no,no,no,no,no,no,no,no
654,8035048,NA,NA,NA,146950,0,long-term sick/disab,yes,£200-499,no,no,no,no,no,no,yes,no,no
2316,3739541,NA,NA,NA,101500,0,in paid employ,refused,not applicable,refused,refused,refused,refused,refused,refused,refused,refused,refused
2898,9743936,NA,NA,NA,850000,0,retired,no,not applicable,no,no,no,no,no,no,no,no,no
928,7184953,9824452,NA,NA,285000,0,retired,refused,not applicable,refused,refused,refused,refused,refused,refused,refused,refused,refused
238,8677799,NA,NA,NA,85000,1,something else,no,not applicable,no,no,no,no,no,no,no,no,no
4,5047073,NA,NA,NA,285000,5,self employed,yes,"£3,000-3,499",no,yes,no,yes,no,no,yes,no,no
1173,7524423,NA,NA,NA,242000,1,in paid employ,yes,">£30,000",no,yes,yes,yes,no,no,yes,yes,yes
2716,9020849,NA,NA,NA,105000,0,in paid employ,no,not applicable,no,no,no,no,no,no,no,no,no
1853,6565229,NA,NA,NA,172950,2,in paid employ,no,not applicable,no,no,no,no,no,no,no,no,no
1787,9710875,1146405,7969675,NA,113000,0,retired,yes,"£10,000-14,499",no,yes,no,no,no,no,no,no,no
2229,8555845,NA,NA,NA,165000,0,in paid employ,refused,not applicable,refused,refused,refused,refused,refused,refused,refused,refused,refused
1475,2152956,NA,NA,NA,114000,1,in paid employ,no,not applicable,no,no,no,no,no,no,no,no,no
3803,6462681,8211723,NA,NA,235000,0,retired,refused,not applicable,refused,refused,refused,refused,refused,refused,refused,refused,refused
1124,8380112,NA,NA,NA,425000,0,in paid employ,yes,"£2,000-2,499",no,no,yes,no,no,no,yes,no,no
2281,9901694,NA,NA,NA,126500,0,in paid employ,no,not applicable,no,no,no,no,no,no,no,no,no
3748,5152084,NA,NA,NA,130000,2,in paid employ,yes,"£1,500-1,999",no,no,yes,no,no,no,no,no,no
3912,7481762,NA,NA,NA,62000,0,retired,don't know,not applicable,don't know,don't know,don't know,don't know,don't know,don't know,don't know,don't know,don't know
2383,451851,NA,NA,NA,242000,0,in paid employ,refused,not applicable,refused,refused,refused,refused,refused,refused,refused,refused,refused
1736,1675650,NA,NA,NA,249950,0,in paid employ,no,not applicable,no,no,no,no,no,no,no,no,no
1493,7494317,NA,NA,NA,123000,0,in paid employ,yes,"£1,000-1,499",yes,no,no,no,no,no,no,no,no
1166,3345359,NA,NA,NA,161000,4,in paid employ,no,not applicable,no,no,no,no,no,no,no,no,no
2426,3805454,NA,NA,NA,250000,1,in paid employ,no,not applicable,no,no,no,no,no,no,no,no,no
2979,7806308,NA,NA,NA,137500,3,in paid employ,no,not applicable,no,no,no,no,no,no,no,no,no
1062,3653325,NA,NA,NA,130000,2,in paid employ,yes,£500-999,no,no,yes,no,no,no,no,no,no
4022,6179011,NA,NA,NA,379319,0,unemployed,no,not applicable,no,no,no,no,no,no,no,no,no
456,4804758,NA,NA,NA,284000,0,in paid employ,don't know,not applicable,don't know,don't know,don't know,don't know,don't know,don't know,don't know,don't know,don't know
4128,8559332,NA,NA,NA,115000,1,something else,refused,not applicable,refused,refused,refused,refused,refused,refused,refused,refused,refused
2927,7990502,NA,NA,NA,100000,0,in paid employ,refused,not applicable,refused,refused,refused,refused,refused,refused,refused,refused,refused
2919,5719119,NA,NA,NA,89000,2,in paid employ,don't know,not applicable,don't know,don't know,don't know,don't know,don't know,don't know,don't know,don't know,don't know
3323,-99,NA,NA,NA,151000,0,in paid employ,no,not applicable,no,no,no,no,no,no,no,no,no
566,9701455,NA,NA,NA,345000,0,retired,yes,"£10,000-14,499",no,no,no,no,no,no,no,yes,no
3411,145353,NA,NA,NA,174000,0,in paid employ,no,not applicable,no,no,no,no,no,no,no,no,no
508,464783,NA,NA,NA,157000,0,retired,yes,"£6,000-6,499",no,no,yes,no,no,no,yes,yes,no
3302,5787151,NA,NA,NA,147500,0,in paid employ,don't know,not applicable,don't know,don't know,don't know,don't know,don't know,don't know,don't know,don't know,don't know
1941,4194129,NA,NA,NA,162000,0,in paid employ,yes,<£200,no,no,no,yes,no,no,no,no,no
1849,4788389,2451742,NA,NA,180000,5,something else,refused,not applicable,refused,refused,refused,refused,refused,refused,refused,refused,refused
3981,18890,NA,NA,NA,290000,0,retired,no,not applicable,no,no,no,no,no,no,no,no,no
3635,9847854,NA,NA,NA,275000,1,in paid employ,refused,not applicable,refused,refused,refused,refused,refused,refused,refused,refused,refused
3986,5825193,NA,NA,NA,242000,0,something else,no,not applicable,no,no,no,no,no,no,no,no,no
948,9204037,NA,NA,NA,400000,0,retired,no,not applicable,no,no,no,no,no,no,no,no,no
1179,815059,NA,NA,NA,180000,4,self employed,refused,not applicable,refused,refused,refused,refused,refused,refused,refused,refused,refused
4171,-99,NA,NA,NA,150000,1,in paid employ,no,not applicable,no,no,no,no,no,no,no,no,no
1829,948531,NA,NA,NA,345000,0,in paid employ,no,not applicable,no,no,no,no,no,no,no,no,no
2710,3801471,NA,NA,NA,134000,2,in paid employ,yes,"£5,500-5,999",no,no,no,no,no,no,yes,no,no
1816,6098979,5408051,NA,NA,174000,1,in paid employ,yes,"£6,000-6,499",no,yes,yes,no,no,no,no,no,no
572,1052761,NA,NA,NA,200000,0,retired,yes,£500-999,no,no,no,no,no,no,no,no,yes
2234,2195015,NA,NA,NA,365000,0,unemployed,refused,not applicable,refused,refused,refused,refused,refused,refused,refused,refused,refused
2378,9251331,NA,NA,NA,178000,2,in paid employ,refused,not applicable,refused,refused,refused,refused,refused,refused,refused,refused,refused
605,1557941,NA,NA,NA,228500,0,in paid employ,no,not applicable,no,no,no,no,no,no,no,no,no
4169,2975726,NA,NA,NA,125000,0,retired,refused,not applicable,refused,refused,refused,refused,refused,refused,refused,refused,refused
2538,8395446,NA,NA,NA,100000,0,in paid employ,don't know,not applicable,don't know,don't know,don't know,don't know,don't know,don't know,don't know,don't know,don't know
2911,6758486,NA,NA,NA,374950,3,self employed,refused,not applicable,refused,refused,refused,refused,refused,refused,refused,refused,refused
1697,9979760,8271757,NA,NA,110000,0,in paid employ,refused,not applicable,refused,refused,refused,refused,refused,refused,refused,refused,refused
1907,7014222,6983983,NA,NA,228250,3,in paid employ,no,not applicable,no,no,no,no,no,no,no,no,no
171,9897273,NA,NA,NA,330000,0,retired,yes,"£4,000-4,499",no,yes,no,no,no,no,no,no,no
2238,9576892,NA,NA,NA,137500,0,FT student,yes,"£1,000-1,499",no,no,yes,no,no,no,yes,no,no
2920,1555911,NA,NA,NA,167000,4,in paid employ,yes,"£2,500-2,999",no,no,no,no,no,yes,no,no,no
3126,2787573,NA,NA,NA,136000,3,in paid employ,yes,"£1,000-1,499",no,no,yes,yes,no,no,yes,no,no
1486,8592844,NA,NA,NA,243500,0,retired,no,not applicable,no,no,no,no,no,no,no,no,no
1723,2755196,NA,NA,NA,249995,2,long-term sick/disab,don't know,not applicable,don't know,don't know,don't know,don't know,don't know,don't know,don't know,don't know,don't know
2341,1594909,NA,NA,NA,239950,1,retired,yes,"£1,000-1,499",no,no,yes,no,no,no,no,no,no
3821,9759339,NA,NA,NA,68000,2,in paid employ,don't know,not applicable,don't know,don't know,don't know,don't know,don't know,don't know,don't know,don't know,don't know
309,9086202,NA,NA,NA,107000,0,in paid employ,no,not applicable,no,no,no,no,no,no,no,no,no
2908,754075,NA,NA,NA,90000,1,in paid employ,no,not applicable,no,no,no,no,no,no,no,no,no
2435,1627526,NA,NA,NA,140000,1,self employed,no,not applicable,no,no,no,no,no,no,no,no,no
3125,3996895,3423224,NA,NA,145000,3,in paid employ,no,not applicable,no,no,no,no,no,no,no,no,no
110,4321870,NA,NA,NA,120000,1,in paid employ,no,not applicable,no,no,no,no,no,no,no,no,no
1340,1247002,NA,NA,NA,169995,1,in paid employ,no,not applicable,no,no,no,no,no,no,no,no,no
2436,1099717,1642638,NA,NA,123000,0,in paid employ,refused,not applicable,refused,refused,refused,refused,refused,refused,refused,refused,refused
1758,6455219,NA,NA,NA,175000,4,in paid employ,yes,"£3,000-3,499",no,no,yes,no,no,no,no,no,no
4009,533710,2545181,NA,NA,117000,3,in paid employ,no,not applicable,no,no,no,no,no,no,no,no,no
1514,7616014,NA,NA,NA,126463,0,in paid employ,don't know,not applicable,don't know,don't know,don't know,don't know,don't know,don't know,don't know,don't know,don't know
2242,9286183,NA,NA,NA,263000,0,retired,refused,not applicable,refused,refused,refused,refused,refused,refused,refused,refused,refused
2619,1143602,NA,NA,NA,599978,1,in paid employ,refused,not applicable,refused,refused,refused,refused,refused,refused,refused,refused,refused
3834,2335083,NA,NA,NA,250000,0,in paid employ,no,not applicable,no,no,no,no,no,no,no,no,no
3016,9816366,NA,NA,NA,415000,2,in paid employ,refused,not applicable,refused,refused,refused,refused,refused,refused,refused,refused,refused
1980,6678541,NA,NA,NA,82500,2,in paid employ,refused,not applicable,refused,refused,refused,refused,refused,refused,refused,refused,refused
3822,2396431,NA,NA,NA,177000,0,retired,refused,not applicable,refused,refused,refused,refused,refused,refused,refused,refused,refused
2688,3941269,NA,NA,NA,99950,0,in paid employ,yes,"£6,000-6,499",no,no,no,no,no,no,no,yes,no
2902,1054641,NA,NA,NA,143000,1,in paid employ,no,not applicable,no,no,no,no,no,no,no,no,no
1578,5766820,NA,NA,NA,210000,0,in paid employ,no,not applicable,no,no,no,no,no,no,no,no,no
580,6989408,NA,NA,NA,69000,0,retired,no,not applicable,no,no,no,no,no,no,no,no,no
1177,8480289,NA,NA,NA,180000,0,retired,no,not applicable,no,no,no,no,no,no,no,no,no
4292,3850710,NA,NA,NA,177000,0,retired,no,not applicable,no,no,no,no,no,no,no,no,no
821,8002140,NA,NA,NA,299950,2,in paid employ,refused,not applicable,refused,refused,refused,refused,refused,refused,refused,refused,refused
2524,1928438,NA,NA,NA,231995,1,unemployed,no,not applicable,no,no,no,no,no,no,no,no,no
2893,1180458,NA,NA,NA,174000,0,retired,no,not applicable,no,no,no,no,no,no,no,no,no
2661,5953933,NA,NA,NA,192000,0,retired,don't know,not applicable,don't know,don't know,don't know,don't know,don't know,don't know,don't know,don't know,don't know
3030,9197543,NA,NA,NA,200000,1,long-term sick/disab,no,not applicable,no,no,no,no,no,no,no,no,no
2611,1082319,2347604,NA,NA,750000,2,in paid employ,yes,"£1,000-1,499",yes,no,yes,yes,no,no,no,no,no
1240,5318677,NA,NA,NA,94000,2,in paid employ,don't know,not applicable,don't know,don't know,don't know,don't know,don't know,don't know,don't know,don't know,don't know
3614,8383070,4899170,NA,NA,155000,0,retired,no,not applicable,no,no,no,no,no,no,no,no,no
1174,2084451,NA,NA,NA,210000,2,in paid employ,yes,"£9,000-9,499",yes,no,no,no,no,no,no,no,no
1784,3206953,NA,NA,NA,195000,0,long-term sick/disab,yes,"£1,500-1,999",no,no,no,no,no,no,no,yes,no
3851,2797421,NA,NA,NA,447500,0,retired,no,not applicable,no,no,no,no,no,no,no,no,no
294,4760030,NA,NA,NA,325000,0,in paid employ,no,not applicable,no,no,no,no,no,no,no,no,no
153,6039903,NA,NA,NA,104000,0,unemployed,no,not applicable,no,no,no,no,no,no,no,no,no
2944,5673841,NA,NA,NA,378000,0,long-term sick/disab,no,not applicable,no,no,no,no,no,no,no,no,no
71,5261887,NA,NA,NA,208000,0,retired,refused,not applicable,refused,refused,refused,refused,refused,refused,refused,refused,refused
764,7407333,NA,NA,NA,109950,0,retired,refused,not applicable,refused,refused,refused,refused,refused,refused,refused,refused,refused
4033,5092192,NA,NA,NA,145000,2,in paid employ,don't know,not applicable,don't know,don't know,don't know,don't know,don't know,don't know,don't know,don't know,don't know
140,2767158,NA,NA,NA,200000,0,in paid employ,refused,not applicable,refused,refused,refused,refused,refused,refused,refused,refused,refused
911,4541961,NA,NA,NA,33000,0,in paid employ,refused,not applicable,refused,refused,refused,refused,refused,refused,refused,refused,refused
37,7479657,NA,NA,NA,182000,0,retired,no,not applicable,no,no,no,no,no,no,no,no,no
2115,8337306,NA,NA,NA,275000,1,in paid employ,yes,<£200,no,no,yes,no,no,no,no,no,no
