hhid,personid1,personid2,personid3,personid4,price,nkids,jbstathoh,us,ustot,usa,usb,usc,usd,use,usg,ush,usi,usj
447,7560497,NA,NA,NA,164000,1,in paid employ,yes,"£7,000-7,499",no,yes,no,no,no,no,no,no,no
2146,2442259,NA,NA,NA,750000,0,unemployed,no,not applicable,no,no,no,no,no,no,no,no,no
424,783561,NA,NA,NA,175000,0,in paid employ,yes,<£200,yes,no,no,no,no,no,no,no,no
1854,6183514,NA,NA,NA,180000,2,in paid employ,yes,"£6,500-6,999",yes,no,no,no,no,no,no,no,no
3116,3623727,NA,NA,NA,125000,0,in paid employ,yes,"£3,000-3,499",yes,yes,no,no,no,no,yes,no,no
2928,7339287,NA,NA,NA,192000,0,in paid employ,refused,not applicable,refused,refused,refused,refused,refused,refused,refused,refused,refused
3973,2316594,NA,NA,NA,201500,1,in paid employ,yes,£200-499,no,no,yes,no,no,no,no,no,no
2223,8754449,NA,NA,NA,197000,0,retired,refused,not applicable,refused,refused,refused,refused,refused,refused,refused,refused,refused
1268,2228056,NA,NA,NA,290000,0,FT student,yes,"£2,500-2,999",no,no,no,no,no,no,no,yes,no
105,1838076,NA,NA,NA,169950,4,in paid employ,refused,not applicable,refused,refused,refused,refused,refused,refused,refused,refused,refused
1517,5099914,NA,NA,NA,220000,0,retired,no,not applicable,no,no,no,no,no,no,no,no,no
97,3831504,NA,NA,NA,124000,2,in paid employ,yes,"£10,000-14,499",no,yes,no,no,no,no,no,no,no
4472,5203942,NA,NA,NA,164950,0,in paid employ,no,not applicable,no,no,no,no,no,no,no,no,no
3034,4347262,NA,NA,NA,165500,1,in paid employ,no,not applicable,no,no,no,no,no,no,no,no,no
3182,9983359,NA,NA,NA,70000,0,FT student,no,not applicable,no,no,no,no,no,no,no,no,no
3341,2340593,NA,NA,NA,126000,0,in paid employ,yes,"£2,500-2,999",no,no,no,no,no,no,no,yes,no
549,2453187,NA,NA,NA,156000,2,in paid employ,don't know,not applicable,don't know,don't know,don't know,don't know,don't know,don't know,don't know,don't know,don't know
1811,4882370,NA,NA,NA,289000,0,retired,no,not applicable,no,no,no,no,no,no,no,no,no
1218,8654271,NA,NA,NA,382000,3,unemployed,refused,not applicable,refused,refused,refused,refused,refused,refused,refused,refused,refused
3340,4634925,NA,NA,NA,250000,0,in paid employ,yes,£500-999,no,yes,no,no,no,no,no,no,yes
169,5244317,NA,NA,NA,215000,0,in paid employ,yes,"£2,000-2,499",yes,yes,yes,no,no,no,no,no,no
2995,5182792,NA,NA,NA,279950,1,in paid employ,no,not applicable,no,no,no,no,no,no,no,no,no
95,9097938,NA,NA,NA,55000,0,in paid employ,no,not applicable,no,no,no,no,no,no,no,no,no
3021,9490458,NA,NA,NA,112500,0,in paid employ,no,not applicable,no,no,no,no,no,no,no,no,no
3522,624634,NA,NA,NA,188000,0,in paid employ,yes,"£10,000-14,499",no,yes,no,no,no,no,no,no,no
442,1645322,NA,NA,NA,170000,1,in paid employ,yes,don't know,no,no,yes,no,no,no,no,yes,no
4264,7683014,NA,NA,NA,95000,0,retired,no,not applicable,no,no,no,no,no,no,no,no,no
2408,8277567,NA,NA,NA,106000,0,retired,no,not applicable,no,no,no,no,no,no,no,no,no
600,8021885,NA,NA,NA,103000,0,retired,no,not applicable,no,no,no,no,no,no,no,no,no
313,9189583,NA,NA,NA,169000,2,in paid employ,no,not applicable,no,no,no,no,no,no,no,no,no
2572,6988557,NA,NA,NA,140000,0,in paid employ,no,not applicable,no,no,no,no,no,no,no,no,no
943,7343882,NA,NA,NA,68000,0,retired,yes,£200-499,no,no,no,yes,no,no,no,no,no
3622,8085749,NA,NA,NA,350000,0,in paid employ,no,not applicable,no,no,no,no,no,no,no,no,no
597,8684775,NA,NA,NA,287500,2,in paid employ,no,not applicable,no,no,no,no,no,no,no,no,no
3231,4260380,NA,NA,NA,154000,0,long-term sick/disab,yes,£200-499,no,no,no,no,yes,no,no,no,no
720,8446253,NA,NA,NA,450000,0,retired,no,not applicable,no,no,no,no,no,no,no,no,no
445,6204526,3609460,NA,NA,600000,3,in paid employ,yes,<£200,no,no,no,no,no,no,no,no,yes
2636,9019608,NA,NA,NA,167500,0,FT student,no,not applicable,no,no,no,no,no,no,no,no,no
1495,6532949,NA,NA,NA,153000,1,in paid employ,refused,not applicable,refused,refused,refused,refused,refused,refused,refused,refused,refused
3112,3004357,NA,NA,NA,139175,0,in paid employ,no,not applicable,no,no,no,no,no,no,no,no,no
823,4176279,NA,NA,NA,125000,0,in paid employ,no,not applicable,no,no,no,no,no,no,no,no,no
3067,1012986,NA,NA,NA,340000,2,in paid employ,no,not applicable,no,no,no,no,no,no,no,no,no
589,4259571,NA,NA,NA,278000,1,self employed,no,not applicable,no,no,no,no,no,no,no,no,no
803,2929981,NA,NA,NA,74825,1,in paid employ,yes,<£200,no,no,yes,no,no,no,no,no,no
4257,3333212,NA,NA,NA,368500,0,in paid employ,refused,not applicable,refused,refused,refused,refused,refused,refused,refused,refused,refused
793,5382885,9729953,NA,NA,110000,0,retired,no,not applicable,no,no,no,no,no,no,no,no,no
3436,8925939,NA,NA,NA,108000,1,in paid employ,yes,don't know,no,no,yes,no,no,no,no,no,no
863,1713999,NA,NA,NA,84000,0,in paid employ,yes,"£2,000-2,499",no,yes,yes,no,no,no,yes,no,no
1223,7551533,NA,NA,NA,303000,0,in paid employ,yes,£200-499,no,no,yes,yes,no,no,yes,no,no
2721,8716349,NA,NA,NA,230000,3,in paid employ,refused,not applicable,refused,refused,refused,refused,refused,refused,refused,refused,refused
